Runs,Mins,4s,6s,Dismissal,Inns,Opposition,Ground,Start Date
1,6,0,0,caught,2,v Australia,Hobart,14-Jan-10
5,48,0,0,caught,4,v Australia,Hobart,14-Jan-10
2,28,0,0,caught,2,v South Africa,Johannesburg,1-Feb-13
6,22,1,0,bowled,4,v South Africa,Johannesburg,1-Feb-13
13,27,2,0,caught,1,v South Africa,Cape Town,14-Feb-13
5,8,1,0,bowled,3,v South Africa,Cape Town,14-Feb-13
17,54,3,0,caught,2,v South Africa,Centurion,22-Feb-13
40,109,6,0,caught,3,v South Africa,Centurion,22-Feb-13
7,28,0,0,caught,1,v Sri Lanka,Dubai (DSC),8-Jan-14
74,205,7,0,bowled,3,v Sri Lanka,Dubai (DSC),8-Jan-14
5,13,0,0,caught,2,v Sri Lanka,Sharjah,16-Jan-14
48,67,4,1,caught,4,v Sri Lanka,Sharjah,16-Jan-14
55,116,6,0,caught,1,v Sri Lanka,Galle,6-Aug-14
52*,90,5,0,not out,3,v Sri Lanka,Galle,6-Aug-14
103,216,7,1,caught,2,v Sri Lanka,Colombo (SSC),14-Aug-14
55,127,2,0,caught,4,v Sri Lanka,Colombo (SSC),14-Aug-14
109,145,14,0,stumped,1,v Australia,Dubai (DSC),22-Oct-14
15*,19,0,0,not out,3,v Australia,Dubai (DSC),22-Oct-14
19*,44,3,0,not out,1,v Australia,Abu Dhabi,30-Oct-14
DNB,-,-,-,-,3,v Australia,Abu Dhabi,30-Oct-14
DNB,-,-,-,-,1,v New Zealand,Abu Dhabi,9-Nov-14
13*,18,1,0,not out,3,v New Zealand,Abu Dhabi,9-Nov-14
112,215,16,0,caught,2,v New Zealand,Dubai (DSC),17-Nov-14
24*,40,3,0,not out,4,v New Zealand,Dubai (DSC),17-Nov-14
15,34,1,0,caught,1,v New Zealand,Sharjah,26-Nov-14
37,48,6,0,caught,3,v New Zealand,Sharjah,26-Nov-14
82,108,5,2,caught,2,v Bangladesh,Khulna,28-Apr-15
21*,5,3,0,not out,1,v Bangladesh,Dhaka,6-May-15
18*,30,2,0,not out,3,v Bangladesh,Dhaka,6-May-15
96,135,13,0,bowled,2,v Sri Lanka,Galle,17-Jun-15
DNB,-,-,-,-,4,v Sri Lanka,Galle,17-Jun-15
